,id,x,y,cluster
139,139,-7.8924046,34.738525,0
140,140,12.274725,-39.85219,3
141,141,9.925506,-48.835297,3
142,142,-0.0043167183,-48.214695,3
143,143,-25.60505,-37.256809999999994,5
144,144,-61.001404,1.0029762,4
145,145,71.64671,3.8963417999999996,6
146,146,-58.525482,0.89696443,4
147,147,0.6618939,57.770485,7
148,148,-36.842583000000005,52.043564,1
149,149,-2.5774105,6.468458,0
150,150,62.385075,-7.4435773,6
151,151,52.843081999999995,-8.614572,6
152,152,10.782807,-60.285942000000006,3
153,153,7.8364720000000005,-62.672180000000004,3
154,154,-1.7671317,-49.354652,3
155,155,22.506605,-19.834328,3
156,156,5.4438763,40.829696999999996,0
157,157,13.142794,-12.124371,3
158,158,-38.203403,52.559185,1
159,159,-16.982706,31.505262,0
160,160,5.051524,-21.3501,3
161,161,14.674364,-50.51174,3
162,162,-64.29849,16.442667,4
163,163,23.05872,-45.692528,3
164,164,-27.476301,-36.2266,5
165,165,9.192988,-24.873575,3
166,166,6.1022754,-41.2788,3
167,167,6.497031,21.512068,0
168,168,11.50287,-47.593734999999995,3
169,169,-18.183521,29.929409000000003,0
170,170,19.226961,-51.5971,3
171,171,1.7419435,-48.321877,3
172,172,-32.644646,-44.802013,5
173,173,60.416878000000004,0.4684242,6
174,174,18.495716,-24.280228,3
175,175,58.07386999999999,27.68151,2
176,176,-37.622902,-26.520378000000004,5
177,177,-35.42757,-49.817040000000006,5
178,178,14.657557,-13.6553,3
179,179,7.260408,32.574546999999995,0
180,180,65.39014399999999,2.1918797000000003,6
181,181,3.8209968,-57.360287,3
182,182,7.099633,57.586113,7
183,183,-47.45942,8.304076,4
184,184,-22.668148000000002,-20.449545,5
185,185,45.075287,25.268188000000002,2
186,186,-49.4765,7.046564599999999,4
187,187,45.820805,27.574246999999996,2
188,188,-52.649597,14.420121,4
189,189,-31.125153000000005,-40.535973,5
190,190,-4.7724423,17.00375,0
191,191,12.68224,-53.446606,3
192,192,-29.085490999999998,-48.811465999999996,5
193,193,2.9601588,24.705189999999998,0
194,194,-38.598403999999995,45.919518,1
195,195,-24.88934,-22.425947,5
196,196,40.737076,18.397274,2
197,197,6.8768972999999995,-18.228157,3
198,198,43.86955,21.292683,2
199,199,50.554794,-3.04294,6
200,200,-54.168490000000006,2.871388,4
201,201,-14.276397,22.026954999999997,0
202,202,-54.478590000000004,4.716783,4
203,203,13.626268,-23.39314,3
204,204,-64.65228,0.68507105,4
205,205,15.786585,-18.710526,3
206,206,35.677986,26.884724,2
207,207,-44.4999,10.002374,4
208,208,19.949170000000002,-43.862434,3
209,209,12.490471000000001,-60.922493,3
210,210,43.620277,31.095709000000003,2
